,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default,community-schools
552,1862,ELLSWORTH COMMUNITY COLLEGE                                      ,IA,5,1,101,410,24.6,A,5,D,103,438,23.5,A,105,444,23.6,A,public,,True
2523,9054,WEST VIRGINIA NORTHERN COMMUNITY COLLEGE                         ,WV,5,1,159,647,24.5,P,5,D,181,780,23.2,P,265,918,28.8,P,public,,True
834,2276,KELLOGG COMMUNITY COLLEGE                                        ,MI,5,1,493,2010,24.5,A,5,D,369,1722,21.4,A,327,1656,19.7,A,public,,True
4272,40414,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE                        ,WV,5,1,201,819,24.5,A,5,D,208,928,22.4,A,236,972,24.2,A,public,,True
2390,7950,WEST SHORE COMMUNITY COLLEGE                                     ,MI,5,1,58,236,24.5,A,5,D,43,213,20.1,A,41,179,22.9,A,public,,True
2001,4845,WILSON COMMUNITY COLLEGE                                         ,NC,5,1,47,192,24.4,A,5,D,22,115,19.1,A,4,30,13.3,A,public,,True
2239,6960,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE                        ,KY,5,1,226,925,24.4,P,5,D,344,1149,29.9,P,287,995,28.8,P,public,,True
3752,30345,OWENSBORO COMMUNITY & TECHNICAL COLLEGE                          ,KY,5,1,228,932,24.4,P,5,D,252,956,26.3,P,226,932,24.2,P,public,,True
2123,5697,NORTHWEST - SHOALS COMMUNITY COLLEGE                             ,AL,5,1,166,680,24.4,P,5,D,171,814,21.0,P,198,852,23.2,P,public,,True
2077,5320,CAPE FEAR COMMUNITY COLLEGE                                      ,NC,5,1,431,1766,24.4,A,5,D,367,1601,22.9,A,328,1473,22.2,A,public,,True
4420,41438,WOODLAND COMMUNITY COLLEGE                                       ,CA,5,1,20,82,24.3,B,5,D,19,63,30.1,B,12,32,37.5,A,public,,True
2127,5753,OWENS STATE COMMUNITY COLLEGE                                    ,OH,5,1,1371,5663,24.2,A,5,D,1380,6140,22.4,A,1841,6994,26.3,A,public,,True
823,2263,GLEN OAKS COMMUNITY COLLEGE                                      ,MI,5,1,71,293,24.2,A,5,D,82,402,20.3,A,55,280,19.6,A,public,,True
2651,9962,LUNA COMMUNITY COLLEGE                                           ,NM,5,1,32,132,24.2,A,5,D,34,134,25.3,A,23,93,24.7,A,public,,True
492,1779,ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE      ,IL,5,1,12,50,24.0,A,5,D,7,53,13.2,A,2,40,5.0,A,public,,True
2075,5317,FORSYTH TECHNICAL COMMUNITY COLLEGE                              ,NC,5,1,324,1347,24.0,P,5,D,234,938,24.9,P,33,174,18.9,P,public,,True
926,2417,MISSISSIPPI GULF COAST COMMUNITY COLLEGE                         ,MS,5,1,419,1747,23.9,P,5,D,380,1593,23.8,P,306,1249,24.4,P,public,,True
646,1993,HENDERSON COMMUNITY COLLEGE                                      ,KY,5,1,112,470,23.8,A,5,D,132,479,27.5,A,80,354,22.5,A,public,,True
2402,8080,STATE FAIR COMMUNITY COLLEGE                                     ,MO,5,1,354,1488,23.7,A,5,D,357,1485,24.0,A,344,1315,26.1,A,public,,True
1400,3196,LANE COMMUNITY COLLEGE                                           ,OR,5,1,1200,5058,23.7,A,5,D,1405,5595,25.1,A,1119,4536,24.6,A,public,,True
920,2409,ITAWAMBA COMMUNITY COLLEGE                                       ,MS,5,1,345,1455,23.7,A,5,D,392,2081,18.8,A,578,2474,23.3,A,public,,True
2706,10345,CINCINNATI STATE TECHNICAL & COMMUNITY COLLEGE                   ,OH,5,1,1180,4991,23.6,P,5,D,978,4878,20.0,P,1081,5217,20.7,P,public,,True
918,2407,HINDS COMMUNITY COLLEGE                                          ,MS,5,1,959,4057,23.6,P,2,D,1010,4267,23.6,P,1217,5120,23.7,P,public,,True
1281,2983,WILKES COMMUNITY COLLEGE                                         ,NC,5,1,61,258,23.6,A,5,D,66,256,25.7,A,56,216,25.9,A,public,,True
1415,3218,CHEMEKETA COMMUNITY COLLEGE                                      ,OR,5,1,972,4123,23.5,A,5,D,849,3828,22.1,A,712,3046,23.3,A,public,,True
1404,3204,MOUNT HOOD COMMUNITY COLLEGE                                     ,OR,5,1,757,3211,23.5,A,5,D,617,2815,21.9,A,430,2115,20.3,A,public,,True
2131,5760,NORTHERN MAINE COMMUNITY COLLEGE                                 ,ME,5,1,60,255,23.5,A,5,D,57,304,18.7,A,78,333,23.4,A,public,,True
919,2408,HOLMES COMMUNITY COLLEGE                                         ,MS,5,1,320,1369,23.3,A,5,D,263,1363,19.2,A,285,1465,19.4,A,public,,True
4007,34283,KLAMATH COMMUNITY COLLEGE                                        ,OR,5,1,130,556,23.3,A,5,D,178,679,26.2,A,220,773,28.4,A,public,,True
2343,7640,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE                         ,NC,5,1,525,2259,23.2,A,5,D,484,2222,21.7,A,393,1761,22.3,A,public,,True
2237,6949,KALAMAZOO VALLEY COMMUNITY COLLEGE                               ,MI,5,1,752,3234,23.2,A,5,D,1033,3778,27.3,A,749,3095,24.2,A,public,,True
2811,11220,WINDWARD COMMUNITY COLLEGE                                       ,HI,5,1,96,414,23.1,A,5,D,84,384,21.8,A,73,372,19.6,A,public,,True
333,1533,TALLAHASSEE COMMUNITY COLLEGE                                    ,FL,6,1,957,4126,23.1,A,5,D,1022,4334,23.5,A,924,3953,23.3,A,public,,True
2060,5273,GATEWAY COMMUNITY AND TECHNICAL COLLEGE                          ,KY,5,1,304,1313,23.1,P,5,D,474,1631,29.0,P,441,1522,28.9,P,public,,True
1347,3119,SINCLAIR COMMUNITY COLLEGE                                       ,OH,5,1,1458,6343,22.9,A,5,D,1394,6478,21.5,A,1787,7373,24.2,A,public,,True
1394,3186,BLUE MOUNTAIN COMMUNITY COLLEGE                                  ,OR,5,1,116,506,22.9,A,5,D,143,524,27.2,A,139,551,25.2,A,public,,True
41,1077,MESA COMMUNITY COLLEGE                                           ,AZ,5,1,1152,5033,22.8,A,5,D,1325,5447,24.3,A,1174,5105,22.9,A,public,,True
1930,3999,CLEVELAND STATE COMMUNITY COLLEGE                                ,TN,3,1,224,989,22.6,A,5,D,208,972,21.3,A,163,873,18.6,A,public,,True
2777,10879,RICHLAND COMMUNITY COLLEGE                                       ,IL,5,1,94,415,22.6,A,5,D,101,403,25.0,A,106,435,24.3,A,public,,True
3909,31563,ESTRELLA MOUNTAIN COMMUNITY COLLEGE                              ,AZ,5,1,380,1688,22.5,A,3,D,322,1705,18.8,A,310,1661,18.6,A,public,,True
1971,4598,IOWA WESTERN COMMUNITY COLLEGE                                   ,IA,5,1,538,2400,22.4,A,5,D,419,2191,19.1,A,458,2173,21.0,A,public,,True
2098,5448,DURHAM TECHNICAL COMMUNITY COLLEGE                               ,NC,5,1,150,667,22.4,A,5,D,93,474,19.6,A,19,97,19.5,A,public,,True
2886,12260,EAST ARKANSAS COMMUNITY COLLEGE                                  ,AR,5,1,21,94,22.3,A,5,D,23,94,24.4,A,27,96,28.1,A,public,,True
2557,9336,JOHNSTON COMMUNITY COLLEGE                                       ,NC,5,1,134,599,22.3,A,5,D,121,541,22.3,A,96,432,22.2,A,public,,True
1929,3998,CHATTANOOGA STATE COMMUNITY COLLEGE                              ,TN,5,1,839,3768,22.2,A,5,D,811,3729,21.7,A,748,3481,21.4,A,public,,True
542,1848,SOUTHEASTERN COMMUNITY COLLEGE                                   ,IA,5,1,188,845,22.2,P,5,D,172,809,21.2,P,206,917,22.4,P,public,,True
9,1015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,AL,5,1,109,490,22.2,A,5,D,113,554,20.3,A,116,499,23.2,A,public,,True
917,2405,EAST MISSISSIPPI COMMUNITY COLLEGE                               ,MS,5,1,439,1972,22.2,A,5,D,453,2250,20.1,A,471,2252,20.9,A,public,,True
2985,20554,BOSSIER PARISH COMMUNITY COLLEGE                                 ,LA,5,1,573,2589,22.1,A,5,D,507,2220,22.8,A,363,1711,21.2,A,public,,True
3902,31291,FOND DU LAC TRIBAL & COMMUNITY COLLEGE                           ,MN,5,1,97,438,22.1,A,1,D,136,501,27.1,A,119,521,22.8,A,public,,True
65,1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,AR,5,1,13,59,22.0,A,5,D,21,74,28.3,A,15,88,17.0,A,public,,True
1993,4743,CLOVIS COMMUNITY COLLEGE                                         ,NM,5,1,50,227,22.0,A,5,D,44,210,20.9,A,48,240,20.0,A,public,,True
846,2297,MUSKEGON COMMUNITY COLLEGE                                       ,MI,5,1,165,747,22.0,A,5,D,172,794,21.6,A,127,691,18.3,A,public,,True
2599,9646,PIEDMONT COMMUNITY COLLEGE                                       ,NC,5,1,33,150,22.0,A,5,D,33,104,31.7,A,3,16,18.7,B,public,,True
1237,2919,DAVIDSON COUNTY COMMUNITY COLLEGE                                ,NC,5,1,173,787,21.9,A,5,D,141,656,21.4,A,88,436,20.1,A,public,,True
2644,9917,IVY TECH COMMUNITY COLLEGE OF INDIANA                            ,IN,5,1,7532,34392,21.9,P,5,D,9142,40497,22.5,P,8855,39271,22.5,P,public,,True
3195,21775,RIO SALADO COMMUNITY COLLEGE                                     ,AZ,5,1,1095,4991,21.9,A,5,D,1681,7473,22.4,A,2369,7899,29.9,A,public,,True
3013,20746,SOUTH ARKANSAS COMMUNITY COLLEGE                                 ,AR,5,1,106,483,21.9,P,5,D,102,451,22.6,P,80,412,19.4,P,public,,True
1794,3759,J SARGEANT REYNOLDS COMMUNITY COLLEGE                            ,VA,5,1,460,2108,21.8,P,5,D,423,2119,19.9,P,240,1458,16.4,P,public,,True
1195,2867,SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE                         ,NY,5,1,196,900,21.7,A,5,D,193,868,22.2,A,164,807,20.3,A,public,,True
433,1681,HIGHLAND COMMUNITY COLLEGE                                       ,IL,5,1,64,294,21.7,A,5,D,66,312,21.1,A,58,298,19.4,A,public,,True
1396,3189,CLATSOP COMMUNITY COLLEGE                                        ,OR,5,1,61,280,21.7,A,5,D,59,270,21.8,A,40,274,14.5,A,public,,True
554,1865,IOWA CENTRAL COMMUNITY COLLEGE                                   ,IA,5,1,493,2281,21.6,P,5,D,463,2307,20.0,P,485,2183,22.2,P,public,,True
827,2267,GRAND RAPIDS COMMUNITY COLLEGE                                   ,MI,5,1,1258,5828,21.5,A,5,D,1314,5652,23.2,A,1399,5671,24.6,A,public,,True
391,1612,HONOLULU COMMUNITY COLLEGE                                       ,HI,5,1,79,367,21.5,A,5,D,52,290,17.9,A,21,151,13.9,A,public,,True
1978,4625,DELGADO COMMUNITY COLLEGE                                        ,LA,5,1,1372,6401,21.4,P,5,D,1166,5963,19.5,P,978,5322,18.3,P,public,,True
2028,4988,CENTRAL VIRGINIA COMMUNITY COLLEGE                               ,VA,5,1,36,168,21.4,A,5,D,29,149,19.4,A,9,57,15.7,A,public,,True
865,2328,WASHTENAW COMMUNITY COLLEGE                                      ,MI,5,1,667,3105,21.4,A,5,D,556,2995,18.5,A,653,3192,20.4,A,public,,True
2076,5318,CATAWBA VALLEY COMMUNITY COLLEGE                                 ,NC,5,1,91,425,21.4,A,5,D,101,452,22.3,A,90,373,24.1,A,public,,True
2101,5467,SOWELA TECHNICAL COMMUNITY COLLEGE                               ,LA,5,1,29,135,21.4,B,5,D,87,360,24.1,B,22,94,23.4,A,public,,True
1825,3793,SPOKANE COMMUNITY COLLEGE                                        ,WA,5,1,458,2147,21.3,P,5,D,462,2332,19.8,P,522,2406,21.6,P,public,,True
932,2430,PEARL RIVER COMMUNITY COLLEGE                                    ,MS,5,1,163,764,21.3,A,5,D,180,920,19.5,A,211,951,22.1,A,public,,True
104,1161,CERRITOS COMMUNITY COLLEGE                                       ,CA,5,1,140,655,21.3,A,3,D,109,575,18.9,A,83,484,17.1,A,public,,True
2583,9542,COMMUNITY COLLEGE OF DENVER                                      ,CO,6,1,859,4022,21.3,A,3,D,914,3929,23.2,A,1023,3660,27.9,A,public,,True
1199,2871,MOHAWK VALLEY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEG,NY,5,1,442,2074,21.3,A,5,D,419,2146,19.5,A,387,2071,18.6,A,public,,True
1417,3220,SOUTHWESTERN OREGON COMMUNITY COLLEGE                            ,OR,5,1,108,508,21.2,A,5,D,107,538,19.8,A,85,436,19.4,A,public,,True
2221,6835,DYERSBURG STATE COMMUNITY COLLEGE                                ,TN,5,1,155,730,21.2,A,5,D,150,772,19.4,A,186,795,23.3,A,public,,True
2354,7690,KANKAKEE COMMUNITY COLLEGE                                       ,IL,5,1,129,608,21.2,A,5,D,154,648,23.7,A,109,506,21.5,A,public,,True
3071,21077,TRUCKEE MEADOWS COMMUNITY COLLEGE                                ,NV,6,1,267,1261,21.1,A,5,D,369,1711,21.5,A,506,1997,25.3,A,public,,True
2050,5244,BLUEGRASS COMMUNITY & TECHNICAL COLLEGE                          ,KY,5,1,876,4133,21.1,P,5,D,1002,4459,22.4,P,1172,4869,24.0,P,public,,True
578,1901,ALLEN COUNTY COMMUNITY COLLEGE                                   ,KS,5,1,142,672,21.1,A,5,D,132,673,19.6,A,113,626,18.0,A,public,,True
4467,41519,COLUMBIA GORGE COMMUNITY COLLEGE                                 ,OR,5,1,44,209,21.0,A,5,D,52,242,21.4,A,25,79,31.6,A,public,,True
647,1994,HOPKINSVILLE COMMUNITY COLLEGE                                   ,KY,5,1,201,953,21.0,A,5,D,263,1143,23.0,A,165,807,20.4,A,public,,True
1190,2861,CAYUGA COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGE      ,NY,5,1,308,1464,21.0,A,5,D,315,1605,19.6,A,352,1519,23.1,A,public,,True
850,2303,OAKLAND COMMUNITY COLLEGE                                        ,MI,5,1,1180,5629,20.9,P,5,D,875,5124,17.0,P,745,4285,17.3,P,public,,True
930,2426,NORTHEAST MISSISSIPPI COMMUNITY COLLEGE                          ,MS,5,1,134,641,20.9,A,5,D,157,734,21.3,A,175,701,24.9,A,public,,True
645,1991,ELIZABETHTOWN COMMUNITY  AND TECHNICAL COLLEGE                   ,KY,5,1,386,1847,20.8,P,5,D,625,2428,25.7,P,590,2280,25.8,P,public,,True
1317,3040,CUYAHOGA COMMUNITY COLLEGE                                       ,OH,5,1,1331,6405,20.7,P,5,D,1241,6004,20.6,P,1196,5185,23.0,P,public,,True
2007,4878,CLACKAMAS COMMUNITY COLLEGE                                      ,OR,5,1,378,1826,20.7,A,5,D,365,1755,20.7,A,328,1544,21.2,A,public,,True
3360,22781,SANTA FE COMMUNITY COLLEGE                                       ,NM,5,1,128,617,20.7,A,3,D,146,596,24.4,A,143,596,23.9,A,public,,True
3173,21661,ELAINE P. NUNEZ COMMUNITY COLLEGE                                ,LA,5,1,103,499,20.6,P,5,D,31,148,20.9,P,23,177,12.9,P,public,,True
891,2362,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE                      ,MN,5,1,768,3715,20.6,P,5,D,787,3630,21.6,P,855,3967,21.5,P,public,,True
562,1875,MARSHALLTOWN COMMUNITY COLLEGE                                   ,IA,5,1,120,580,20.6,A,5,D,111,606,18.3,A,136,608,22.3,A,public,,True
2209,6785,SCHENECTADY COUNTY COMMUNITY COLLEGE                             ,NY,5,1,296,1441,20.5,A,5,D,255,1356,18.8,A,201,1054,19.0,A,public,,True
3774,30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE                             ,AR,5,1,398,1937,20.5,A,5,D,355,1872,18.9,A,291,1617,17.9,A,public,,True
2585,9544,SPOKANE FALLS COMMUNITY COLLEGE                                  ,WA,6,1,292,1428,20.4,A,5,D,248,1468,16.8,A,307,1525,20.1,A,public,,True
40,1076,GLENDALE COMMUNITY COLLEGE                                       ,AZ,5,1,715,3495,20.4,A,5,D,695,3279,21.1,A,649,2943,22.0,A,public,,True
179,1269,RIO HONDO COMMUNITY COLLEGE                                      ,CA,6,1,34,166,20.4,A,3,D,37,220,16.8,A,43,240,17.9,A,public,,True
2444,8403,INDIAN HILLS COMMUNITY COLLEGE                                   ,IA,5,1,379,1865,20.3,P,5,D,444,1928,23.0,P,506,2053,24.6,P,public,,True
2517,9010,MADISONVILLE COMMUNITY COLLEGE                                   ,KY,5,1,154,762,20.2,P,5,D,150,714,21.0,P,120,649,18.4,P,public,,True
33,1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,AL,5,1,274,1363,20.1,P,5,D,256,1346,19.0,A,180,1107,16.2,A,public,,True
2240,6961,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE                        ,KY,5,1,694,3446,20.1,P,5,D,1120,4364,25.6,P,887,3543,25.0,P,public,,True
2051,5245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON            ,AR,5,1,115,572,20.1,A,5,D,99,529,18.7,A,84,497,16.9,A,public,,True
914,2402,COPIAH-LINCOLN COMMUNITY COLLEGE                                 ,MS,5,1,128,637,20.0,A,5,D,162,738,21.9,A,189,751,25.1,A,public,,True
2125,5732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE                 ,AR,5,1,9,45,20.0,A,5,D,5,68,7.3,A,21,90,23.3,A,public,,True
3085,21163,PUEBLO COMMUNITY COLLEGE                                         ,CO,6,1,400,2009,19.9,P,3,D,474,2178,21.7,P,388,1984,19.5,P,public,,True
2034,5006,WALLA WALLA COMMUNITY COLLEGE                                    ,WA,5,1,138,696,19.8,A,5,D,104,664,15.6,A,143,703,20.3,A,public,,True
2375,7871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE                        ,AL,5,1,326,1660,19.6,A,5,D,316,1670,18.9,A,326,1744,18.6,A,public,,True
3692,26236,PARADISE VALLEY COMMUNITY COLLEGE                                ,AZ,5,1,249,1266,19.6,A,5,D,222,1332,16.6,A,206,1132,18.1,A,public,,True
